NAME                    VERSION           TYPE                    
7-Zip                   25.00             binary                   
7zip                    24.09-r0          apk                      
NSIS StdUtils plug-in   1.1.4.0           binary                   
Simple Launcher         1.1.0.14          binary  (+5 duplicates)  
WinRAR                  7.13.0            binary                   
acl-libs                2.3.2-r1          apk                      
alpine-baselayout       3.7.0-r0          apk                      
alpine-baselayout-data  3.7.0-r0          apk                      
alpine-keys             2.5-r0            apk                      
alpine-release          3.22.2-r0         apk                      
apk-tools               2.14.9-r3         apk                      
apprise                 1.9.6             python                   
autocommand             2.2.2             python                   
babelfish               0.6.1             python                   
backports-tarfile       1.2.0             python                   
bash                    5.2.37-r0         apk                      
blinker                 1.9.0             python                   
brotli-libs             1.1.0-r2          apk                      
busybox                 1.37.0-r20        apk                      
busybox-binsh           1.37.0-r20        apk                      
c-ares                  1.34.6-r0         apk                      
ca-certificates         20250911-r0       apk                      
ca-certificates-bundle  20250911-r0       apk                      
catatonit               0.2.1-r0          apk                      
certifi                 2025.11.12        python                   
cffi                    2.0.0             python                   
chardet                 5.2.0             python                   
charset-normalizer      3.4.4             python                   
cheroot                 11.1.2            python                   
cherrypy                18.10.0           python                   
cli                     UNKNOWN           binary                   
cli-32                  UNKNOWN           binary                   
cli-64                  UNKNOWN           binary                   
cli-arm64               UNKNOWN           binary                   
click                   8.3.1             python                   
configobj               5.0.9             python                   
coreutils               9.7-r1            apk                      
coreutils-env           9.7-r1            apk                      
coreutils-fmt           9.7-r1            apk                      
coreutils-sha512sum     9.7-r1            apk                      
cryptography            46.0.3            python                   
ct3                     3.4.0.post5       python                   
curl                    8.14.1-r2         apk                      
feedparser              6.0.12            python                   
findutils               4.10.0-r0         apk                      
gdbm                    1.24-r0           apk                      
guessit                 3.8.0             python                   
gui                     UNKNOWN           binary                   
gui-32                  UNKNOWN           binary                   
gui-64                  UNKNOWN           binary                   
gui-arm64               UNKNOWN           binary                   
idna                    3.11              python                   
importlib-metadata      8.0.0             python                   
inflect                 7.3.1             python                   
jaraco-classes          3.4.0             python                   
jaraco-collections      5.0.0             python                   
jaraco-collections      5.1.0             python                   
jaraco-context          4.3.0             python                   
jaraco-context          5.3.0             python                   
jaraco-functools        4.0.1             python                   
jaraco-functools        4.3.0             python                   
jaraco-text             3.12.1            python                   
jaraco-text             3.8.1             python                   
jq                      1.8.1-r0          apk                      
libapk2                 2.14.9-r3         apk                      
libattr                 2.5.2-r2          apk                      
libbsd                  0.12.2-r0         apk                      
libbz2                  1.0.8-r6          apk                      
libcrypto3              3.5.4-r0          apk                      
libcurl                 8.14.1-r2         apk                      
libexpat                2.7.3-r0          apk                      
libffi                  3.4.8-r0          apk                      
libgcc                  14.2.0-r6         apk                      
libidn2                 2.3.7-r0          apk                      
libintl                 0.24.1-r0         apk                      
libmd                   1.1.0-r0          apk                      
libncursesw             6.5_p20250503-r0  apk                      
libpanelw               6.5_p20250503-r0  apk                      
libproc2                4.0.4-r3          apk                      
libpsl                  0.21.5-r3         apk                      
libssl3                 3.5.4-r0          apk                      
libstdc++               14.2.0-r6         apk                      
libunistring            1.3-r0            apk                      
linux-pam               1.7.0-r4          apk                      
liteFirewallW           UNKNOWN           binary                   
markdown                3.10              python                   
more-itertools          10.3.0            python                   
more-itertools          10.8.0            python                   
mpdecimal               4.0.1-r0          apk                      
musl                    1.2.5-r10         apk                      
musl-utils              1.2.5-r10         apk                      
my-test-package         1.0               python                   
ncurses-terminfo-base   6.5_p20250503-r0  apk                      
netcat-openbsd          1.229.1-r0        apk                      
nghttp2-libs            1.65.0-r0         apk                      
notify2                 0.3.1             python                   
nsProcess               UNKNOWN           binary                   
oauthlib                3.3.1             python                   
oniguruma               6.9.10-r0         apk                      
orjson                  3.11.5            python                   
packaging               24.2              python                   
paho-mqtt               1.6.1             python                   
par2                    UNKNOWN           binary                   
pip                     25.3              python                   
platformdirs            4.2.2             python                   
portend                 3.2.1             python                   
procps-ng               4.0.4-r3          apk                      
puremagic               1.30              python                   
pyc                     3.12.12-r0        apk                      
pycparser               2.23              python                   
pyjwt                   2.10.1            python                   
pysocks                 1.7.1             python                   
python-dateutil         2.9.0.post0       python                   
python3                 3.12.12-r0        apk                      
python3-pyc             3.12.12-r0        apk                      
python3-pycache-pyc0    3.12.12-r0        apk                      
pytz                    2025.2            python                   
pyyaml                  6.0.3             python                   
rarfile                 4.2               python                   
readline                8.2.13-r1         apk                      
rebulk                  3.2.0             python                   
requests                2.32.5            python                   
requests-oauthlib       2.0.0             python                   
sabctools               9.1.0             python                   
scanelf                 1.3.8-r1          apk                      
setuptools              80.9.0            python                   
sgmllib3k               1.0.0             python                   
shadow                  4.17.3-r0         apk                      
six                     1.17.0            python                   
skalibs-libs            2.14.4.0-r0       apk                      
sqlite-libs             3.49.2-r1         apk                      
ssl_client              1.37.0-r20        apk                      
tempora                 5.8.1             python                   
tomli                   2.0.1             python                   
typeguard               4.3.0             python                   
typing-extensions       4.12.2            python                   
tzdata                  2025c-r0          apk                      
ujson                   5.11.0            python                   
urllib3                 2.6.2             python                   
utmps-libs              0.1.3.1-r0        apk                      
wheel                   0.45.1            python  (+1 duplicate)   
xz-libs                 5.8.1-r0          apk                      
zc-lockfile             4.0               python                   
zipp                    3.19.2            python                   
zlib                    1.3.1-r2          apk                      
zstd-libs               1.5.7-r0          apk                      
